"Date","Time","Open","High","Low","Close","Up","Down"
01/01/2007,19:00,130.84,130.91,130.70,130.70,37,60
01/01/2007,20:00,130.74,130.76,130.65,130.65,31,50
01/01/2007,21:00,130.70,130.71,130.61,130.63,28,46
01/01/2007,22:00,130.66,130.71,130.63,130.63,52,32
01/01/2007,23:00,130.66,130.66,130.45,130.46,102,304
01/02/2007,00:00,130.49,130.49,130.36,130.43,136,300
01/02/2007,01:00,130.43,130.58,130.42,130.58,96,7
01/02/2007,02:00,130.58,130.61,130.56,130.57,40,40
01/02/2007,03:00,130.61,130.70,130.61,130.70,39,57
01/02/2007,04:00,130.70,130.71,130.65,130.71,61,15
01/02/2007,05:00,130.71,130.80,130.64,130.80,288,58
01/02/2007,06:00,130.78,131.20,130.78,131.00,466,255
01/02/2007,07:00,131.00,131.23,130.97,131.11,121,184
01/02/2007,08:00,131.11,131.14,131.02,131.11,159,231
01/02/2007,09:00,131.07,131.31,131.06,131.29,616,338
01/02/2007,10:00,131.26,131.41,131.03,131.06,943,895
01/02/2007,11:00,131.03,131.10,130.59,130.61,1995,2339
01/02/2007,12:00,130.64,130.67,130.27,130.45,3880,4472
01/02/2007,13:00,130.45,130.65,130.29,130.53,2715,2304
01/02/2007,14:00,130.54,130.88,130.51,130.80,2101,1536
01/02/2007,15:00,130.80,130.88,130.57,130.70,535,641
01/02/2007,16:00,130.70,130.71,130.60,130.62,40,81
01/02/2007,17:00,130.62,130.75,130.61,130.74,156,175
01/02/2007,19:00,130.81,130.83,130.74,130.78,14,8
01/02/2007,20:00,130.73,130.76,130.67,130.76,23,21
01/02/2007,21:00,130.71,130.83,130.70,130.78,34,33
01/02/2007,22:00,130.79,130.79,130.73,130.79,22,21
01/02/2007,23:00,130.78,130.78,130.78,130.78,0,8
01/03/2007,00:00,130.78,130.79,130.76,130.76,1,3
01/03/2007,01:00,130.78,130.79,130.77,130.77,3,7
01/03/2007,02:00,130.77,130.78,130.76,130.78,9,13
01/03/2007,03:00,130.77,130.79,130.58,130.58,15,86
01/03/2007,04:00,130.57,130.58,130.31,130.37,111,662
01/03/2007,05:00,130.38,130.45,130.07,130.13,342,884
01/03/2007,06:00,130.17,130.27,130.07,130.24,360,258
01/03/2007,07:00,130.24,130.26,130.13,130.24,150,235
01/03/2007,08:00,130.26,130.36,130.20,130.36,486,276
01/03/2007,09:00,130.36,130.39,130.00,130.09,610,1297
01/03/2007,10:00,130.07,130.25,129.69,129.89,2689,4301
01/03/2007,11:00,129.89,129.91,128.46,128.68,18587,23158
01/03/2007,12:00,128.67,129.01,128.48,128.70,10459,9212
01/03/2007,13:00,128.71,128.75,128.18,128.47,7711,9462
01/03/2007,14:00,128.46,128.60,128.22,128.44,5690,6923
01/03/2007,15:00,128.44,128.48,127.74,127.77,8668,11532
01/03/2007,16:00,127.77,128.08,127.58,128.03,1204,1075
01/03/2007,17:00,128.02,128.18,127.96,128.17,523,274
01/03/2007,19:00,128.21,128.25,128.10,128.17,197,204
01/03/2007,20:00,128.16,128.16,127.98,128.04,25,90
01/03/2007,21:00,128.06,128.13,128.02,128.02,80,77
01/03/2007,22:00,128.01,128.16,128.00,128.14,129,123
01/03/2007,23:00,128.14,128.21,128.10,128.20,177,117
01/04/2007,00:00,128.17,128.21,128.17,128.19,41,59
01/04/2007,01:00,128.18,128.33,128.17,128.32,152,57
01/04/2007,02:00,128.32,128.34,128.16,128.20,40,80
01/04/2007,03:00,128.24,128.39,128.22,128.39,198,26
01/04/2007,04:00,128.38,128.41,127.93,128.01,372,574
01/04/2007,05:00,128.01,128.37,128.01,128.30,392,373
01/04/2007,06:00,128.26,128.44,128.24,128.34,509,457
01/04/2007,07:00,128.38,128.38,128.17,128.22,244,269
01/04/2007,08:00,128.22,128.27,127.98,128.10,365,470
01/04/2007,09:00,128.08,128.10,127.51,127.62,1369,2074
01/04/2007,10:00,127.62,127.63,126.72,127.13,6860,7893
01/04/2007,11:00,127.14,127.34,126.34,127.32,25049,24978
