"Date","Time","Open","High","Low","Close","Up","Down"
01/03/2000,15:15,1544.00,1545.25,1501.50,1516.00,19675,0
01/04/2000,15:15,1498.25,1503.00,1458.75,1460.75,21282,0
01/05/2000,15:15,1458.00,1476.50,1434.25,1462.25,24898,0
01/06/2000,15:15,1455.00,1475.50,1450.50,1454.00,21831,0
01/07/2000,15:15,1461.50,1510.75,1461.00,1509.00,19994,0
01/10/2000,15:15,1523.00,1528.75,1504.50,1523.50,19428,0
01/11/2000,15:15,1515.50,1520.75,1496.25,1503.25,21712,0
01/12/2000,15:15,1503.75,1505.75,1488.00,1490.75,20841,0
01/13/2000,15:15,1502.00,1516.00,1492.50,1508.25,18745,0
01/14/2000,15:15,1527.75,1534.25,1519.25,1527.50,18068,0
01/18/2000,15:15,1515.75,1525.75,1511.25,1518.50,20128,0
01/19/2000,15:15,1511.25,1523.25,1499.50,1521.75,18305,0
01/20/2000,15:15,1526.50,1527.50,1497.25,1505.50,23516,0
01/21/2000,15:15,1510.50,1512.50,1498.50,1503.25,17116,0
01/24/2000,15:15,1516.00,1517.75,1452.50,1462.00,21689,0
01/25/2000,15:15,1466.00,1474.00,1446.75,1468.25,26294,0
01/26/2000,15:15,1467.25,1471.50,1457.50,1465.25,19368,0
01/27/2000,15:15,1473.75,1477.75,1437.25,1460.00,24440,0
01/28/2000,15:15,1446.75,1456.00,1410.50,1416.25,25775,0
01/31/2000,15:15,1415.25,1452.25,1406.25,1450.00,22811,0
02/01/2000,15:15,1448.25,1471.00,1440.50,1466.00,20740,0
02/02/2000,15:15,1465.50,1478.75,1459.25,1463.50,19732,0
02/03/2000,15:15,1473.75,1487.50,1454.50,1485.25,26837,0
02/04/2000,15:15,1488.75,1493.75,1475.75,1480.50,20169,0
02/07/2000,15:15,1480.00,1482.50,1468.25,1476.25,20391,0
02/08/2000,15:15,1491.00,1498.75,1489.25,1495.00,18631,0
02/09/2000,15:15,1496.75,1498.00,1466.25,1467.75,24580,0
02/10/2000,15:15,1470.25,1478.50,1461.50,1467.75,23246,0
