"Date","Time","Open","High","Low","Close","Up","Down"
01/03/2000,16:00,1530.75,1545.25,1501.50,1516.00,20662,0
01/04/2000,16:00,1514.00,1515.00,1458.75,1460.75,22703,0
01/05/2000,16:00,1457.00,1476.50,1434.25,1462.25,26420,0
01/06/2000,16:00,1448.75,1475.50,1445.00,1454.00,23206,0
01/07/2000,16:00,1453.50,1510.75,1451.25,1509.00,22214,0
01/10/2000,16:00,1509.00,1530.25,1504.50,1523.50,21040,0
01/11/2000,16:00,1522.25,1522.50,1496.25,1503.25,22515,0
01/12/2000,16:00,1501.25,1505.75,1488.00,1490.75,21771,0
01/13/2000,16:00,1494.25,1516.00,1492.50,1508.25,20395,0
01/14/2000,16:00,1509.00,1534.25,1508.50,1527.50,19683,0
01/18/2000,16:00,1527.75,1528.25,1511.25,1518.50,21127,0
01/19/2000,16:00,1513.00,1523.25,1499.50,1521.75,19333,0
01/20/2000,16:00,1530.75,1534.25,1497.25,1505.50,24678,0
01/21/2000,16:00,1501.75,1512.50,1498.50,1503.25,17922,0
01/24/2000,16:00,1507.25,1517.75,1452.50,1462.00,22592,0
01/25/2000,16:00,1461.75,1474.00,1446.75,1468.25,27286,0
01/26/2000,16:00,1467.25,1472.00,1457.50,1465.25,20114,0
01/27/2000,16:00,1463.50,1477.75,1437.25,1460.00,25423,0
01/28/2000,16:00,1462.75,1469.25,1410.50,1416.25,27459,0
01/31/2000,16:00,1419.25,1452.25,1406.25,1450.00,23539,0
02/01/2000,16:00,1451.00,1471.00,1440.50,1466.00,21498,0
02/02/2000,16:00,1467.25,1478.75,1459.25,1463.50,20232,0
02/03/2000,16:00,1465.75,1487.50,1454.50,1485.25,27834,0
02/04/2000,16:00,1487.25,1498.75,1475.75,1480.50,21872,0
02/07/2000,16:00,1476.50,1482.50,1468.25,1476.25,20993,0
02/08/2000,16:00,1475.00,1498.75,1474.75,1495.00,19980,0
02/09/2000,16:00,1499.00,1504.00,1466.25,1467.75,25403,0
02/10/2000,16:00,1466.25,1478.50,1461.50,1467.75,24036,0
02/11/2000,16:00,1470.00,1475.75,1433.50,1445.25,25655,0
02/14/2000,16:00,1444.75,1452.75,1436.00,1447.50,22782,0
02/15/2000,16:00,1447.50,1464.00,1430.25,1458.50,25276,0
02/16/2000,16:00,1461.75,1462.75,1439.50,1442.00,23439,0
02/17/2000,16:00,1444.00,1456.25,1433.50,1434.75,23371,0
02/18/2000,16:00,1435.75,1442.75,1398.25,1403.25,23955,0
02/22/2000,16:00,1401.50,1413.00,1385.75,1397.75,27127,0
02/23/2000,16:00,1400.25,1423.50,1393.75,1413.25,25293,0
02/24/2000,16:00,1416.25,1419.25,1380.25,1404.75,30375,0
02/25/2000,16:00,1405.75,1415.75,1380.25,1387.00,29199,0
02/28/2000,16:00,1389.75,1415.25,1376.75,1397.50,29642,0
02/29/2000,16:00,1399.50,1423.25,1399.25,1421.25,23115,0
03/01/2000,16:00,1422.75,1438.00,1420.25,1434.00,22867,0
03/02/2000,16:00,1431.50,1439.75,1421.75,1434.25,23168,0
03/03/2000,16:00,1434.50,1463.75,1433.00,1459.75,21689,0
03/06/2000,16:00,1460.25,1461.50,1435.50,1444.25,18876,0
03/07/2000,16:00,1444.75,1454.25,1401.50,1401.50,1297,0
03/08/2000,16:00,1406.25,1425.00,1397.50,1415.25,1215,0
03/09/2000,16:00,1416.00,1454.75,1408.00,1454.25,17785,0
03/10/2000,16:00,1452.50,1465.50,1443.25,1449.00,21974,0
03/13/2000,16:00,1443.50,1449.50,1412.50,1433.00,25508,0
03/14/2000,16:00,1431.75,1445.50,1408.00,1411.75,27280,0
03/15/2000,16:00,1410.50,1448.75,1405.75,1444.00,29535,0
03/16/2000,16:00,1447.25,1512.75,1444.75,1510.75,28693,0
03/17/2000,16:00,1507.25,1529.00,1499.50,1519.75,22837,0
03/20/2000,16:00,1518.25,1521.75,1498.00,1509.25,21786,0
03/21/2000,16:00,1511.00,1545.50,1494.50,1539.00,24104,0
03/22/2000,16:00,1538.25,1556.50,1535.25,1549.25,23515,0
03/23/2000,16:00,1547.25,1584.25,1541.25,1575.50,25343,0
03/24/2000,16:00,1574.25,1605.50,1566.50,1586.75,25322,0
03/27/2000,16:00,1583.25,1585.75,1567.25,1570.25,20322,0
03/28/2000,16:00,1572.50,1580.75,1554.25,1560.50,25502,0
03/29/2000,16:00,1561.50,1572.50,1546.25,1561.25,25445,0
03/30/2000,16:00,1559.25,1566.25,1524.75,1535.75,28257,0
03/31/2000,16:00,1537.75,1570.00,1532.25,1548.75,25331,0
04/03/2000,16:00,1544.25,1560.00,1533.25,1559.75,28109,0
04/04/2000,16:00,1560.75,1576.00,1462.25,1549.50,36512,0
04/05/2000,16:00,1547.00,1553.00,1522.50,1536.25,33581,0
04/06/2000,16:00,1533.00,1562.00,1533.00,1547.75,25748,0
04/07/2000,16:00,1551.00,1566.25,1545.00,1560.75,23928,0
04/10/2000,16:00,1561.25,1575.25,1549.25,1552.25,25503,0
04/11/2000,16:00,1549.75,1560.50,1528.75,1549.00,32039,0
04/12/2000,16:00,1551.00,1555.75,1506.25,1507.00,31705,0
04/13/2000,16:00,1510.25,1523.75,1482.50,1487.25,32901,0
04/14/2000,16:00,1486.25,1494.00,1378.25,1398.50,37583,0
04/17/2000,16:00,1380.25,1445.75,1375.75,1444.75,36305,0
04/18/2000,16:00,1441.00,1486.75,1432.25,1483.75,34866,0
04/19/2000,16:00,1480.25,1491.25,1466.50,1471.75,30931,0
04/20/2000,16:00,1474.00,1478.25,1462.75,1478.00,21232,0
04/24/2000,16:00,1470.25,1472.25,1448.25,1468.75,32141,0
04/25/2000,16:00,1471.25,1521.00,1468.50,1520.75,26645,0
04/26/2000,16:00,1517.50,1526.50,1498.25,1505.25,27267,0
04/27/2000,16:00,1504.50,1512.00,1471.75,1499.25,32334,0
04/28/2000,16:00,1500.75,1518.50,1489.25,1491.75,24284,0
05/01/2000,16:00,1490.00,1524.00,1490.00,1508.00,26346,0
05/02/2000,16:00,1508.50,1509.75,1480.25,1482.75,28321,0
05/03/2000,16:00,1477.25,1481.25,1435.75,1453.75,33271,0
05/04/2000,16:00,1455.75,1460.00,1442.75,1454.75,27343,0
05/05/2000,16:00,1455.00,1477.25,1437.25,1471.25,24614,0
05/08/2000,16:00,1466.25,1470.75,1455.75,1462.00,24982,0
05/09/2000,16:00,1462.50,1471.00,1440.75,1450.50,29233,0
05/10/2000,16:00,1452.25,1457.00,1414.25,1419.75,34376,0
05/11/2000,16:00,1414.75,1450.25,1413.75,1446.75,27924,0
05/12/2000,16:00,1448.25,1470.00,1445.50,1462.50,23996,0
05/15/2000,16:00,1460.75,1490.75,1454.50,1488.75,23172,0
05/16/2000,16:00,1489.00,1510.00,1487.50,1503.00,26306,0
05/17/2000,16:00,1498.25,1498.25,1479.50,1488.00,27416,0
05/18/2000,16:00,1483.25,1497.00,1472.75,1473.00,25505,0
05/19/2000,16:00,1470.75,1475.50,1438.25,1446.75,26389,0
05/22/2000,16:00,1442.75,1454.50,1403.75,1435.75,33803,0
05/23/2000,16:00,1436.75,1442.75,1410.00,1413.75,31958,0
05/24/2000,16:00,1414.50,1439.25,1396.75,1433.50,38242,0
05/25/2000,16:00,1434.00,1449.00,1409.25,1420.50,29470,0
05/26/2000,16:00,1419.25,1427.75,1404.50,1413.50,24726,0
05/30/2000,16:00,1419.25,1460.00,1418.00,1458.50,24878,0
05/31/2000,16:00,1460.00,1470.25,1450.75,1453.25,30243,0
06/01/2000,16:00,1452.25,1485.00,1452.25,1483.00,27589,0
06/02/2000,16:00,1481.75,1523.25,1478.25,1507.00,23079,0
06/05/2000,16:00,1507.00,1511.75,1499.00,1502.00,25157,0
06/06/2000,16:00,1505.50,1508.00,1488.50,1494.75,24537,0
06/07/2000,16:00,1499.50,1510.00,1489.50,1508.00,912,0
06/08/2000,16:00,1508.00,1510.00,1490.50,1498.25,18448,0
06/09/2000,16:00,1501.50,1514.75,1486.75,1494.50,19548,0
06/12/2000,16:00,1496.00,1500.50,1478.50,1479.00,19073,0
06/13/2000,16:00,1478.75,1506.00,1475.75,1504.25,29073,0
06/14/2000,16:00,1505.00,1517.50,1499.50,1507.25,26965,0
06/15/2000,16:00,1508.25,1516.25,1496.25,1508.25,25364,0
06/16/2000,16:00,1510.50,1514.00,1489.50,1498.00,21497,0
06/19/2000,16:00,1496.75,1524.25,1493.25,1515.25,23702,0
06/20/2000,16:00,1515.00,1519.25,1500.75,1509.00,25535,0
06/21/2000,16:00,1509.00,1513.50,1498.25,1508.75,24296,0
06/22/2000,16:00,1506.25,1509.75,1478.50,1486.25,25981,0
06/23/2000,16:00,1487.25,1489.50,1467.00,1474.00,22410,0
06/26/2000,16:00,1476.25,1490.25,1475.50,1489.00,21219,0
06/27/2000,16:00,1490.00,1494.25,1479.50,1481.00,20238,0
06/28/2000,16:00,1484.00,1498.00,1480.00,1480.25,20406,0
06/29/2000,16:00,1482.75,1483.75,1461.00,1468.25,27584,0
06/30/2000,16:00,1467.50,1481.00,1465.00,1480.50,19225,0
07/03/2000,16:00,1481.75,1500.75,1477.50,1500.50,6480,0
07/05/2000,16:00,1498.25,1503.25,1468.50,1473.00,22691,0
