"Date","Time","Open","High","Low","Close","Up","Down"
01/01/2007,19:00,3.4775,3.4775,3.4775,3.4775,2,0
01/01/2007,21:00,3.4735,3.4735,3.4665,3.4665,3,17
01/01/2007,23:00,3.4580,3.4580,3.4575,3.4575,1,3
01/02/2007,00:00,3.4575,3.4575,3.4565,3.4565,0,6
01/02/2007,01:00,3.4565,3.4585,3.4495,3.4585,4,8
01/02/2007,02:00,3.4600,3.4635,3.4600,3.4615,11,7
01/02/2007,03:00,3.4615,3.4685,3.4585,3.4660,31,15
01/02/2007,04:00,3.4660,3.4765,3.4660,3.4750,79,19
01/02/2007,05:00,3.4755,3.4755,3.4315,3.4320,51,153
01/02/2007,06:00,3.4320,3.4325,3.4210,3.4285,59,45
01/02/2007,07:00,3.4285,3.4350,3.4220,3.4330,88,23
01/02/2007,08:00,3.4315,3.4315,3.4115,3.4165,42,103
01/02/2007,09:00,3.4180,3.4245,3.3965,3.4060,419,510
01/02/2007,10:00,3.4055,3.4125,3.4005,3.4065,182,143
01/02/2007,11:00,3.4065,3.4075,3.3735,3.3775,159,581
01/02/2007,12:00,3.3780,3.3875,3.3775,3.3865,198,199
01/02/2007,13:00,3.3865,3.3990,3.3865,3.3875,102,142
01/02/2007,14:00,3.3890,3.3945,3.3880,3.3945,9,2
01/02/2007,15:00,3.3970,3.3970,3.3925,3.3945,28,20
01/02/2007,16:00,3.3945,3.4015,3.3945,3.3990,22,4
01/02/2007,17:00,3.3965,3.3990,3.3965,3.3985,5,4
01/02/2007,19:00,3.4045,3.4045,3.3965,3.3965,3,24
01/02/2007,20:00,3.3965,3.3965,3.3940,3.3940,0,13
01/02/2007,21:00,3.4005,3.4005,3.3865,3.3865,11,16
01/02/2007,22:00,3.4030,3.4030,3.4030,3.4030,2,0
01/02/2007,23:00,3.3985,3.4015,3.3985,3.4015,4,2
01/03/2007,00:00,3.3995,3.3995,3.3930,3.3930,2,8
01/03/2007,01:00,3.3945,3.3970,3.3945,3.3965,18,10
01/03/2007,02:00,3.3880,3.3905,3.3875,3.3880,15,17
01/03/2007,03:00,3.3880,3.3905,3.3665,3.3665,36,300
