"Date","Time","Open","High","Low","Close","Up","Down"
01/01/2007,19:00,17.836,17.873,17.815,17.873,41,58
01/01/2007,20:00,17.871,17.871,17.811,17.813,7,30
01/01/2007,21:00,17.814,17.838,17.806,17.806,6,10
01/01/2007,22:00,17.806,17.841,17.786,17.786,18,44
01/01/2007,23:00,17.791,17.801,17.760,17.781,67,61
01/02/2007,00:00,17.776,17.779,17.754,17.776,20,36
01/02/2007,01:00,17.776,17.781,17.761,17.781,28,3
01/02/2007,02:00,17.781,17.781,17.767,17.767,2,5
01/02/2007,03:00,17.767,17.821,17.761,17.761,38,7
01/02/2007,04:00,17.767,17.767,17.767,17.767,1,0
01/02/2007,05:00,17.772,17.772,17.762,17.769,7,1
01/02/2007,06:00,17.769,17.795,17.736,17.736,16,55
01/02/2007,07:00,17.737,17.751,17.736,17.737,20,29
01/02/2007,08:00,17.744,17.781,17.731,17.773,105,64
01/02/2007,09:00,17.782,17.891,17.776,17.831,169,116
01/02/2007,10:00,17.827,17.846,17.771,17.773,160,305
01/02/2007,11:00,17.769,17.821,17.756,17.801,345,325
01/02/2007,12:00,17.797,17.864,17.771,17.855,323,401
01/02/2007,13:00,17.855,17.871,17.822,17.854,211,208
01/02/2007,14:00,17.855,17.899,17.855,17.877,153,129
01/02/2007,15:00,17.876,17.901,17.871,17.901,58,45
01/02/2007,16:00,17.911,17.931,17.901,17.931,46,21
01/02/2007,17:00,17.912,17.912,17.912,17.912,0,1
01/02/2007,19:00,17.931,17.936,17.861,17.861,4,13
01/02/2007,20:00,17.891,17.891,17.890,17.890,6,1
01/02/2007,21:00,17.891,17.891,17.891,17.891,5,0
01/02/2007,22:00,17.879,17.879,17.872,17.872,0,12
01/02/2007,23:00,17.871,17.891,17.871,17.871,2,4
01/03/2007,00:00,17.881,17.887,17.881,17.887,2,0
01/03/2007,01:00,17.891,17.912,17.891,17.906,8,3
01/03/2007,03:00,17.882,17.882,17.882,17.882,0,1
01/03/2007,04:00,17.884,17.886,17.884,17.886,8,0
01/03/2007,05:00,17.887,17.896,17.873,17.874,15,32
01/03/2007,06:00,17.874,17.925,17.874,17.925,40,12
01/03/2007,07:00,17.928,17.928,17.872,17.876,14,31
01/03/2007,08:00,17.869,17.971,17.866,17.944,75,35
01/03/2007,09:00,17.961,18.029,17.922,17.938,619,382
01/03/2007,10:00,17.938,17.951,17.901,17.911,752,736
01/03/2007,11:00,17.906,17.911,17.775,17.851,4317,4477
01/03/2007,12:00,17.851,17.910,17.829,17.857,2315,1961
01/03/2007,13:00,17.854,17.855,17.771,17.806,1506,1985
01/03/2007,14:00,17.806,17.831,17.790,17.805,1179,1348
01/03/2007,15:00,17.804,17.828,17.775,17.801,713,1090
01/03/2007,16:00,17.796,17.825,17.792,17.795,19,56
01/03/2007,17:00,17.790,17.809,17.780,17.807,19,22
01/03/2007,19:00,17.796,17.801,17.794,17.794,5,7
01/03/2007,20:00,17.800,17.831,17.798,17.822,13,4
01/03/2007,21:00,17.822,17.872,17.822,17.870,111,4
01/03/2007,22:00,17.851,17.871,17.846,17.846,11,13
01/04/2007,00:00,17.861,17.861,17.851,17.861,21,16
01/04/2007,01:00,17.871,17.871,17.851,17.851,5,5
01/04/2007,02:00,17.851,17.876,17.851,17.861,2,5
01/04/2007,03:00,17.876,17.879,17.875,17.878,8,3
01/04/2007,04:00,17.876,17.887,17.863,17.877,30,20
01/04/2007,05:00,17.886,17.890,17.885,17.887,14,4
01/04/2007,06:00,17.890,17.918,17.890,17.900,132,18
01/04/2007,07:00,17.906,17.926,17.891,17.916,107,57
01/04/2007,08:00,17.911,18.019,17.911,17.956,365,137
01/04/2007,09:00,17.956,17.956,17.901,17.931,241,379
01/04/2007,10:00,17.930,17.931,17.818,17.846,541,809
01/04/2007,11:00,17.846,17.960,17.815,17.948,3322,3027
01/04/2007,12:00,17.948,18.076,17.917,17.953,4079,4241
01/04/2007,13:00,17.952,17.977,17.876,17.921,1452,1891
01/04/2007,14:00,17.923,17.947,17.882,17.896,1183,1493
01/04/2007,15:00,17.891,17.903,17.782,17.796,1576,1814
01/04/2007,16:00,17.797,17.797,17.717,17.745,143,240
01/04/2007,17:00,17.747,17.800,17.747,17.796,123,87
01/04/2007,19:00,17.786,17.786,17.761,17.786,52,25
01/04/2007,20:00,17.805,17.826,17.797,17.826,20,8
01/04/2007,21:00,17.821,17.831,17.810,17.824,7,11
01/04/2007,22:00,17.840,17.851,17.821,17.831,13,23
01/04/2007,23:00,17.840,17.889,17.821,17.889,175,12
01/05/2007,00:00,17.881,17.920,17.816,17.846,189,175
01/05/2007,01:00,17.817,17.851,17.817,17.831,151,40
01/05/2007,02:00,17.831,17.841,17.831,17.831,19,1
01/05/2007,03:00,17.821,17.855,17.817,17.855,12,9
01/05/2007,04:00,17.852,17.864,17.841,17.849,9,10
01/05/2007,05:00,17.855,17.864,17.826,17.826,8,20
01/05/2007,06:00,17.856,17.864,17.830,17.838,26,22
01/05/2007,07:00,17.841,17.887,17.826,17.870,50,51
01/05/2007,08:00,17.865,17.882,17.761,17.761,62,114
01/05/2007,09:00,17.766,17.803,17.729,17.791,255,213
01/05/2007,10:00,17.786,17.861,17.786,17.805,390,435
01/05/2007,11:00,17.805,17.848,17.735,17.831,2137,2177
01/05/2007,12:00,17.833,17.851,17.665,17.716,3198,3813
01/05/2007,13:00,17.716,17.767,17.691,17.753,1643,1368
01/05/2007,14:00,17.755,17.829,17.751,17.800,1659,1371
01/05/2007,15:00,17.798,17.822,17.790,17.810,770,535
01/05/2007,16:00,17.815,17.841,17.815,17.837,77,14
01/05/2007,17:00,17.841,17.864,17.833,17.860,122,51
01/07/2007,19:00,18.001,18.065,18.001,18.051,124,60
01/07/2007,20:00,18.050,18.061,18.007,18.011,53,37
01/07/2007,21:00,18.011,18.051,18.007,18.051,41,9
01/07/2007,22:00,18.059,18.059,18.036,18.044,18,14
01/07/2007,23:00,18.021,18.046,18.021,18.038,6,4
01/08/2007,00:00,18.046,18.046,17.991,18.025,10,34
01/08/2007,01:00,18.001,18.001,18.001,18.001,0,5
01/08/2007,02:00,17.996,18.001,17.990,17.991,3,3
01/08/2007,03:00,17.990,17.992,17.990,17.990,1,4
01/08/2007,04:00,18.001,18.046,18.001,18.029,37,4
01/08/2007,05:00,18.021,18.042,18.020,18.031,37,10
01/08/2007,06:00,18.045,18.051,18.031,18.051,27,18
01/08/2007,07:00,18.041,18.097,18.029,18.097,127,27
01/08/2007,08:00,18.097,18.137,18.052,18.066,313,143
01/08/2007,09:00,18.070,18.138,18.066,18.101,225,139
01/08/2007,10:00,18.097,18.182,18.096,18.111,1176,997
01/08/2007,11:00,18.110,18.190,18.050,18.101,3497,3319
01/08/2007,12:00,18.095,18.099,18.001,18.048,3202,3621
01/08/2007,13:00,18.047,18.077,17.987,18.055,1477,1813
01/08/2007,14:00,18.056,18.069,17.995,18.006,1300,1675
01/08/2007,15:00,18.005,18.054,17.956,18.051,1617,1594
01/08/2007,16:00,18.051,18.057,18.020,18.046,135,126
01/08/2007,17:00,18.045,18.095,18.040,18.091,79,25
01/08/2007,19:00,18.061,18.061,18.021,18.051,30,60
01/08/2007,20:00,18.060,18.081,18.060,18.081,24,19
01/08/2007,21:00,18.081,18.081,18.070,18.070,1,12
01/08/2007,22:00,18.068,18.081,18.068,18.076,2,4
01/08/2007,23:00,18.076,18.091,18.075,18.075,18,5
01/09/2007,00:00,18.077,18.099,18.074,18.074,7,33
01/09/2007,01:00,18.074,18.074,18.066,18.066,0,4
01/09/2007,03:00,18.081,18.081,18.081,18.081,1,0
01/09/2007,04:00,18.098,18.106,18.096,18.106,3,10
01/09/2007,05:00,18.109,18.109,18.066,18.079,3,6
01/09/2007,06:00,18.069,18.081,18.063,18.071,12,11
01/09/2007,07:00,18.100,18.141,18.077,18.141,61,32
01/09/2007,08:00,18.135,18.135,18.011,18.077,67,107
01/09/2007,09:00,18.071,18.074,17.961,17.990,267,377
01/09/2007,10:00,17.989,18.050,17.986,18.022,520,425
