"Date","Time","Open","High","Low","Close","Vol","OI"
01/03/2000,16:00,81.50,89.56,79.50,89.38,16118600,0
01/04/2000,16:00,85.38,91.50,81.75,81.94,17368700,0
01/05/2000,16:00,70.50,75.13,68.00,69.75,38602300,0
01/06/2000,16:00,71.31,72.69,64.00,65.56,18774000,0
01/07/2000,16:00,67.00,70.50,66.19,69.56,10504500,0
01/10/2000,16:00,72.56,72.63,65.56,69.19,14757600,0
01/11/2000,16:00,66.88,70.00,65.00,66.75,10520300,0
01/12/2000,16:00,67.88,68.00,63.00,63.56,10810200,0
01/13/2000,16:00,64.94,67.19,63.13,65.94,10448100,0
01/14/2000,16:00,66.75,68.63,64.00,64.25,6854100,0
01/18/2000,16:00,63.44,65.19,63.00,64.13,5390700,0
01/19/2000,16:00,64.13,67.50,63.00,66.81,8244000,0
01/20/2000,16:00,66.94,67.00,63.94,64.75,5977000,0
01/21/2000,16:00,64.63,64.63,60.00,62.06,11503900,0
01/24/2000,16:00,67.56,73.38,67.50,70.13,29168200,0
01/25/2000,16:00,70.00,71.25,66.00,69.25,9434400,0
01/26/2000,16:00,68.63,70.00,64.75,64.81,6555400,0
01/27/2000,16:00,65.19,67.75,64.63,66.94,6783600,0
01/28/2000,16:00,65.00,66.44,60.00,61.69,13762900,0
01/31/2000,16:00,60.38,64.75,58.44,64.56,10673800,0
02/01/2000,16:00,67.50,70.63,64.38,67.44,13384300,0
02/02/2000,16:00,67.94,72.25,67.75,69.44,13902900,0
02/03/2000,16:00,81.13,85.94,77.38,84.19,43776100,0
02/04/2000,16:00,82.75,82.75,77.88,78.56,11023200,0
02/07/2000,16:00,76.19,76.88,73.13,75.00,10129000,0
02/08/2000,16:00,74.00,84.00,73.44,83.13,19473800,0
02/09/2000,16:00,80.55,83.73,80.02,80.25,9591000,0
02/10/2000,16:00,78.50,79.88,75.50,76.19,10076500,0
02/11/2000,16:00,77.13,79.13,75.50,76.19,8315700,0
02/14/2000,16:00,75.69,75.75,73.56,74.44,5169700,0
02/15/2000,16:00,73.44,76.19,70.63,73.81,6424000,0
02/16/2000,16:00,72.75,73.44,70.63,70.69,4260500,0
02/17/2000,16:00,71.25,71.31,68.00,69.00,6175300,0
02/18/2000,16:00,68.44,69.00,63.88,65.00,8756100,0
02/22/2000,16:00,64.94,66.50,63.06,63.75,5705400,0
