"Date","Time","Open","High","Low","Close","Vol","OI"
01/03/2000,16:00,41.63,41.69,39.81,40.56,2637000,0
01/04/2000,16:00,39.88,41.13,39.75,40.19,3591900,0
01/05/2000,16:00,42.00,43.31,41.38,42.63,7631700,0
01/06/2000,16:00,42.25,43.44,41.13,43.06,4922200,0
01/07/2000,16:00,43.88,44.88,43.69,44.31,6007500,0
01/10/2000,16:00,44.31,44.50,43.50,43.69,2403500,0
01/11/2000,16:00,43.38,43.94,42.75,42.88,2450200,0
01/12/2000,16:00,42.75,44.19,42.50,43.06,2327900,0
01/13/2000,16:00,43.31,43.38,42.00,42.38,3035100,0
01/14/2000,16:00,43.63,44.25,42.94,44.00,3834900,0
01/18/2000,16:00,43.88,45.00,43.13,45.00,5859800,0
01/19/2000,16:00,45.38,48.13,45.25,47.63,11463600,0
01/20/2000,16:00,47.56,47.88,45.75,46.50,8931100,0
01/21/2000,16:00,46.94,46.94,45.00,45.69,4392400,0
01/24/2000,16:00,45.81,46.19,43.63,44.31,3306200,0
01/25/2000,16:00,45.00,46.00,44.75,45.69,5057200,0
01/26/2000,16:00,45.69,46.50,45.00,46.19,3100100,0
01/27/2000,16:00,46.00,46.88,44.88,45.06,3339100,0
01/28/2000,16:00,44.81,45.63,44.50,44.63,2288400,0
01/31/2000,16:00,44.00,44.56,43.94,44.50,2383400,0
02/01/2000,16:00,43.88,44.19,43.31,43.75,2670800,0
02/02/2000,16:00,43.38,45.19,43.38,44.63,3295500,0
02/03/2000,16:00,45.00,45.06,43.13,43.44,2889100,0
02/04/2000,16:00,43.75,44.19,42.56,44.00,2927200,0
02/07/2000,16:00,43.88,43.88,41.69,41.81,3029400,0
02/08/2000,16:00,41.94,42.06,40.00,41.00,5102700,0
02/09/2000,16:00,40.25,40.25,38.38,39.00,5538300,0
02/10/2000,16:00,38.81,40.19,38.75,39.75,4060600,0
02/11/2000,16:00,39.75,40.38,39.13,39.88,3132800,0
02/14/2000,16:00,39.63,39.69,38.06,38.25,2606300,0
02/15/2000,16:00,38.13,38.69,37.38,38.50,3961300,0
02/16/2000,16:00,37.75,37.94,36.88,37.25,3423000,0
02/17/2000,16:00,37.25,37.88,36.56,37.50,3400600,0
02/18/2000,16:00,37.38,37.50,35.88,36.00,5560000,0
