"Date","Time","Open","High","Low","Close","Vol","OI"
01/03/2000,16:00,49.02,49.24,47.80,48.06,22945017,0
01/04/2000,16:00,47.18,47.42,46.16,46.20,22951883,0
01/05/2000,16:00,46.06,47.10,45.68,46.06,28413258,0
01/06/2000,16:00,45.86,47.08,45.70,46.68,20677012,0
01/07/2000,16:00,47.42,48.66,47.10,48.48,20951657,0
01/10/2000,16:00,48.92,49.36,48.42,48.46,15839829,0
01/11/2000,16:00,48.38,48.92,48.26,48.54,15732780,0
01/12/2000,16:00,48.40,49.10,48.24,48.70,19085632,0
01/13/2000,16:00,49.06,49.64,49.02,49.26,15556446,0
01/14/2000,16:00,49.14,49.54,47.92,48.38,19225451,0
01/18/2000,16:00,47.94,47.94,47.02,47.42,19124956,0
01/19/2000,16:00,46.94,48.36,46.86,47.65,15449397,0
01/20/2000,16:00,47.76,47.98,45.58,46.76,31694952,0
01/21/2000,16:00,47.40,47.50,46.12,46.18,24966777,0
01/24/2000,16:00,46.56,46.76,43.72,44.26,28212580,0
01/25/2000,16:00,44.24,44.98,43.90,44.38,26411784,0
01/26/2000,16:00,45.02,45.56,44.50,45.32,16496168,0
01/27/2000,16:00,45.36,45.42,43.92,45.42,20019425,0
01/28/2000,16:00,44.96,45.02,42.82,42.94,31053282,0
01/31/2000,16:00,42.94,43.56,42.64,42.94,22662569,0
02/01/2000,16:00,43.02,43.90,42.94,43.58,28435105,0
02/02/2000,16:00,43.94,44.10,42.96,42.96,22700021,0
02/03/2000,16:00,43.56,44.80,43.34,44.62,21279358,0
02/04/2000,16:00,45.18,45.86,45.02,45.36,18899623,0
02/07/2000,16:00,45.40,45.42,43.54,43.74,19022277,0
02/08/2000,16:00,43.76,44.36,43.74,43.92,19448912,0
02/09/2000,16:00,43.90,44.12,42.96,42.96,16670006,0
02/10/2000,16:00,43.12,43.88,42.66,43.40,19940464,0
02/11/2000,16:00,43.28,44.00,42.80,42.86,21381101,0
02/14/2000,16:00,42.86,43.56,42.80,43.06,15126689,0
02/15/2000,16:00,42.94,44.54,42.92,44.06,19582490,0
02/16/2000,16:00,43.78,43.88,43.06,43.47,15116702,0
02/17/2000,16:00,43.22,43.46,41.65,41.97,30101700,0
02/18/2000,16:00,41.97,42.27,40.03,40.09,36757780,0
02/22/2000,16:00,40.45,41.65,40.07,41.53,28329928,0
