"Date","Time","Open","High","Low","Close","Vol","OI"
01/03/2000,16:00,32.06,32.38,31.63,32.13,12210400,0
01/04/2000,16:00,31.25,31.50,30.63,30.69,13476600,0
01/05/2000,16:00,30.88,31.88,30.81,31.19,12318900,0
01/06/2000,16:00,31.25,32.75,31.19,32.31,10547300,0
01/07/2000,16:00,34.00,34.88,32.31,34.50,17042500,0
01/10/2000,16:00,35.00,35.00,34.06,34.44,9881400,0
01/11/2000,16:00,34.25,35.00,34.00,34.00,9247700,0
01/12/2000,16:00,34.50,35.75,34.44,35.13,10838400,0
01/13/2000,16:00,34.94,37.13,34.63,37.00,26286400,0
01/14/2000,16:00,37.44,37.63,37.00,37.00,16182000,0
01/18/2000,16:00,37.13,37.25,35.31,36.50,10872500,0
01/19/2000,16:00,36.75,37.06,36.31,37.00,10053500,0
01/20/2000,16:00,36.75,36.88,35.81,35.81,7980000,0
01/21/2000,16:00,36.56,36.56,35.00,35.06,12355600,0
01/24/2000,16:00,35.00,35.25,33.38,34.38,13102100,0
01/25/2000,16:00,34.50,35.44,34.31,34.88,9396200,0
01/26/2000,16:00,34.81,35.00,34.38,34.88,7332900,0
01/27/2000,16:00,34.56,35.44,34.50,34.50,8594600,0
01/28/2000,16:00,34.50,35.69,33.88,35.19,11228300,0
01/31/2000,16:00,34.00,36.88,34.00,36.19,10168800,0
02/01/2000,16:00,35.56,37.19,35.50,37.00,11713200,0
02/02/2000,16:00,36.94,37.00,35.75,36.00,7141500,0
02/03/2000,16:00,36.06,36.63,35.31,35.63,8803600,0
02/04/2000,16:00,36.13,36.13,35.00,35.75,6609100,0
02/07/2000,16:00,35.88,37.00,35.56,37.00,12713500,0
02/08/2000,16:00,37.06,37.94,36.88,37.81,15360700,0
02/09/2000,16:00,37.63,37.69,36.13,36.13,11207200,0
02/10/2000,16:00,36.50,36.50,35.00,35.38,10577400,0
02/11/2000,16:00,35.56,35.56,34.00,35.00,10172000,0
02/14/2000,16:00,33.56,35.31,33.56,35.00,8393400,0
02/15/2000,16:00,35.06,35.88,34.75,35.56,7832700,0
02/16/2000,16:00,35.00,35.06,33.75,33.75,9873900,0
02/17/2000,16:00,34.13,34.38,33.63,34.00,8495400,0
02/18/2000,16:00,34.00,34.00,32.88,34.00,10316000,0
02/22/2000,16:00,33.44,33.81,33.13,33.50,8735400,0
02/23/2000,16:00,33.81,34.00,32.94,34.00,9090700,0
02/24/2000,16:00,32.88,33.31,32.56,32.67,10699300,0
02/25/2000,16:00,33.00,33.25,32.00,32.38,8258200,0
02/28/2000,16:00,32.13,32.44,31.94,32.19,8109000,0
02/29/2000,16:00,32.88,32.88,31.63,32.13,11836100,0
03/01/2000,16:00,32.13,32.44,31.50,31.88,10993200,0
03/02/2000,16:00,32.00,32.00,31.50,32.00,8352200,0
03/03/2000,16:00,33.50,33.50,31.50,32.63,10045800,0
03/06/2000,16:00,32.06,32.56,31.50,31.69,10581200,0
03/07/2000,16:00,31.38,31.50,30.00,30.00,14535400,0
03/08/2000,16:00,31.00,33.13,30.19,32.44,18790200,0
03/09/2000,16:00,32.63,34.38,32.25,34.38,18199500,0
03/10/2000,16:00,35.13,35.25,34.00,35.00,19474600,0
03/13/2000,16:00,35.13,35.13,33.50,34.31,11671300,0
03/14/2000,16:00,34.19,34.19,33.00,33.25,8645500,0
